Date,Time,LTC,BTC,ETH
2/16/2020,11:45:00,76,9847,263
2/16/2020,12:00:00,76,9847,263
2/16/2020,12:15:00,76,9847,263
2/16/2020,12:30:00,76,9847,263
2/16/2020,12:45:00,76,9847,263
2/16/2020,13:00:00,76,9847,263
2/16/2020,13:15:00,76,9847,263
2/16/2020,13:30:00,76,9847,263
2/16/2020,13:45:00,76,9847,263
2/16/2020,14:00:00,76,9847,263
2/16/2020,14:15:00,76,9847,263
2/16/2020,14:30:00,76,9847,263
2/16/2020,14:45:00,76,9847,263
2/16/2020,15:00:00,76,9847,263
2/16/2020,15:15:00,76,9847,263
2/16/2020,15:30:00,76,9847,263
2/16/2020,15:45:00,76,9847,263
2/16/2020,16:00:00,76,9847,263
2/16/2020,16:15:00,76,9847,263
2/16/2020,16:30:00,76,9847,263
2/16/2020,16:45:00,76,9847,263
2/16/2020,17:00:00,76,9847,263
2/16/2020,17:15:00,76,9847,263
2/16/2020,17:30:00,76,9847,263
2/16/2020,17:45:00,76,9847,263
2/16/2020,18:00:00,76,9847,263
2/16/2020,18:15:00,76,9847,263
2/16/2020,18:30:00,76,9847,263
2/16/2020,18:45:00,76,9847,263
2/16/2020,19:00:00,76,9847,263
2/16/2020,19:15:00,76,9847,263
2/16/2020,19:30:00,76,9847,263
2/16/2020,19:45:00,76,9847,263
2/16/2020,20:00:00,76,9847,263
2/16/2020,20:15:00,76,9847,263
2/16/2020,20:30:00,76,9847,263
2/16/2020,20:45:00,76,9847,263
2/16/2020,21:00:00,71,9719,252
2/16/2020,21:15:00,71,9732,252
2/16/2020,21:30:00,71,9724,252
2/16/2020,21:45:00,71,9714,250
2/16/2020,22:00:00,71,9723,251
2/16/2020,22:15:00,73,9756,252
2/16/2020,22:30:00,73,9805,254
2/16/2020,22:45:00,73,9820,254
2/16/2020,23:00:00,74,9831,256
2/16/2020,23:15:00,75,9913,261
2/16/2020,23:30:00,75,9912,260
2/16/2020,23:45:00,74,9863,258
2/17/2020,00:00:00,74,9865,258
2/17/2020,00:15:00,74,9864,259
2/17/2020,00:30:00,73,9826,255
2/17/2020,00:45:00,73,9812,254
2/17/2020,01:00:00,73,9844,256
2/17/2020,01:15:00,73,9853,256
2/17/2020,01:30:00,73,9838,255
2/17/2020,01:45:00,72,9808,253
2/17/2020,02:00:00,72,9771,251
2/17/2020,02:15:00,71,9784,251
2/17/2020,02:30:00,72,9785,251
2/17/2020,02:45:00,72,9792,251
2/17/2020,03:00:00,72,9779,251
2/17/2020,03:15:00,70,9762,247
2/17/2020,03:30:00,70,9760,248
2/17/2020,03:45:00,70,9765,248
2/17/2020,04:00:00,69,9705,243
2/17/2020,04:15:00,70,9742,246
2/17/2020,04:30:00,69,9700,243
2/17/2020,04:45:00,69,9698,244
2/17/2020,05:00:00,70,9736,248
2/17/2020,05:15:00,70,9712,248
2/17/2020,05:30:00,71,9739,250
2/17/2020,05:45:00,71,9716,248
2/17/2020,06:00:00,72,9750,250
2/17/2020,06:15:00,72,9765,251
2/17/2020,06:30:00,72,9750,250
2/17/2020,06:45:00,71,9728,248
2/17/2020,07:00:00,72,9744,250
2/17/2020,07:15:00,72,9746,250
2/17/2020,07:30:00,72,9733,250
2/17/2020,07:45:00,71,9704,247
2/17/2020,08:00:00,70,9700,247
2/17/2020,08:15:00,71,9723,248
2/17/2020,08:30:00,71,9717,248
2/17/2020,08:45:00,71,9755,251
2/17/2020,09:00:00,72,9776,252
2/17/2020,09:15:00,71,9747,249
2/17/2020,09:30:00,71,9749,250
2/17/2020,09:45:00,71,9747,250
2/17/2020,10:00:00,70,9710,248
2/17/2020,10:15:00,70,9687,247
2/17/2020,10:30:00,69,9679,245
2/17/2020,10:45:00,70,9674,246
2/17/2020,11:00:00,69,9641,244
2/17/2020,11:15:00,70,9612,246
2/17/2020,11:30:00,69,9557,245
2/17/2020,11:45:00,70,9580,247
2/17/2020,12:00:00,71,9594,249
2/17/2020,12:15:00,71,9616,249
2/17/2020,12:30:00,70,9614,248
2/17/2020,12:45:00,70,9598,248
2/17/2020,13:00:00,70,9602,248
2/17/2020,13:15:00,69,9552,245
